                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1393,                 2.1639,                 1.9616,                 1.4039,                0.48527,                0.36757,                 0.3114,                0.19375,                0.49081,                0.38707,                0.31833,                0.20735,                 1.2172,                 1.7025,                  1.405,                 1.7324,             0.00030186,             0.00030186,             0.00030186
                      2,                 1.1645,                 1.9263,                 1.3632,                 1.3942,                0.70796,                0.35329,                0.30574,                0.20299,                0.70796,                0.35329,                0.30923,                0.20517,                 1.1559,                  1.703,                 1.2292,                 1.6206,             0.00057492,             0.00057492,             0.00057492
                      3,                 1.1472,                 1.9118,                 1.3032,                 1.3742,                0.41886,                 0.3356,                0.24592,                0.15399,                0.42707,                0.33957,                0.24363,                0.15232,                 1.2066,                 1.7869,                 1.3071,                 1.7002,             0.00081798,             0.00081798,             0.00081798
                      4,                 1.1362,                 1.8973,                 1.2713,                 1.3717,                0.70589,                0.28551,                0.30622,                 0.1995,                0.70659,                0.28653,                0.31014,                0.20635,                 1.0524,                  1.664,                 1.1032,                 1.5166,             0.00077401,             0.00077401,             0.00077401
                      5,                  1.096,                 1.8542,                 1.2106,                 1.3433,                0.46689,                0.44536,                0.28562,                0.17054,                0.45572,                0.42279,                0.26204,                0.13608,                 1.3889,                 1.8205,                 1.4272,                 1.8312,             0.00072902,             0.00072902,             0.00072902
                      6,                 1.0842,                  1.825,                 1.1971,                  1.333,                0.61073,                0.36848,                0.30679,                0.20324,                0.61335,                0.37902,                0.30456,                0.20182,                 1.0814,                 1.6926,                 1.0984,                 1.5626,             0.00068402,             0.00068402,             0.00068402
                      7,                 1.0534,                 1.7919,                 1.1579,                 1.3067,                0.54227,                0.54693,                0.33191,                0.20495,                0.54227,                0.54693,                 0.3248,                0.19739,                  1.122,                 1.7142,                0.99933,                 1.5605,             0.00063903,             0.00063903,             0.00063903
                      8,                  1.049,                 1.7906,                 1.1483,                 1.3048,                0.44755,                0.43063,                0.43189,                0.25975,                0.44836,                0.43165,                0.43231,                0.26459,                 1.0995,                 1.6205,                0.95464,                 1.5342,             0.00059403,             0.00059403,             0.00059403
                      9,                 1.0372,                 1.7729,                 1.1081,                 1.2976,                0.34005,                0.53584,                0.33582,                0.22901,                0.34005,                0.53584,                0.33253,                0.21914,                 1.0511,                 1.5928,                0.99214,                 1.4981,             0.00054904,             0.00054904,             0.00054904
                     10,                 1.0273,                 1.7394,                 1.0889,                 1.2923,                0.37608,                0.60098,                0.43673,                0.29085,                0.37323,                 0.5867,                 0.4058,                0.27107,                0.91518,                 1.4979,                0.94011,                 1.3778,             0.00050404,             0.00050404,             0.00050404
                     11,                0.98925,                 1.6247,                0.97154,                 1.3923,                0.35666,                0.51661,                0.33662,                0.23008,                0.35739,                0.51763,                0.33807,                0.22877,                 1.0137,                 1.4728,                 1.0147,                 1.4876,             0.00045904,             0.00045904,             0.00045904
                     12,                0.96921,                 1.5813,                0.95219,                 1.3711,                0.54459,                0.33716,                0.32621,                0.21339,                0.56555,                0.29567,                0.31487,                0.17716,                 1.1471,                 1.4244,                 1.0818,                 1.6687,             0.00041405,             0.00041405,             0.00041405
                     13,                0.95411,                 1.5804,                0.93175,                 1.3584,                0.22015,                 0.5523,                0.32926,                0.21587,                  0.217,                0.53903,                0.32701,                 0.2002,                 1.0498,                 1.4042,                0.99297,                 1.4741,             0.00036905,             0.00036905,             0.00036905
                     14,                0.93802,                 1.5626,                0.91173,                 1.3401,                0.47369,                0.51401,                0.46221,                0.30291,                0.45529,                0.49977,                0.44548,                0.28628,                0.96505,                  1.519,                0.94161,                  1.424,             0.00032406,             0.00032406,             0.00032406
                     15,                0.92176,                 1.5352,                0.88333,                   1.32,                0.43502,                0.52305,                0.44057,                0.30307,                0.43656,                0.52509,                0.43971,                0.30328,                0.95469,                 1.4192,                0.90648,                 1.3995,             0.00027906,             0.00027906,             0.00027906
                     16,                 0.8963,                 1.5103,                0.86812,                 1.3061,                 0.3074,                0.62432,                0.44006,                0.29311,                 0.3082,                0.62534,                0.44565,                0.29054,                0.94006,                 1.4434,                0.87852,                 1.4007,             0.00023407,             0.00023407,             0.00023407
                     17,                0.87598,                 1.4962,                0.83383,                 1.2894,                0.38996,                0.67672,                0.49438,                0.32608,                0.37261,                 0.6983,                 0.4876,                0.33343,                0.99697,                   1.42,                0.85131,                 1.4526,             0.00018907,             0.00018907,             0.00018907
                     18,                0.86603,                 1.4868,                0.81546,                 1.2813,                0.67449,                0.44048,                0.47125,                0.32715,                0.67535,                 0.4415,                0.47203,                0.33984,                0.93523,                 1.4089,                0.83237,                 1.3783,             0.00014408,             0.00014408,             0.00014408
                     19,                0.84804,                 1.4535,                0.78997,                 1.2581,                0.37271,                0.62687,                0.43375,                0.29744,                0.39233,                0.64218,                0.43654,                 0.3056,                0.90694,                 1.3857,                0.80375,                 1.3466,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     20,                0.82898,                 1.4418,                0.77062,                 1.2485,                0.44936,                0.61202,                0.49389,                0.34054,                0.44936,                0.61202,                0.49389,                0.34711,                0.90964,                 1.3642,                  0.803,                 1.3505,             5.4086e-05,             5.4086e-05,             5.4086e-05
